id,human,gpt,human_clean,gpt_clean
identity_0,i have been feeling so sad and overwhelmed lately. work has become such a massive source of stress for me.,"hey there, i am here to listen and support you. it sounds like work has been really challenging lately. can you tell me more about what is been going on?",feeling sad overwhelmed lately work become massive source stress,hey listen support sounds like work really challenging lately tell going
identity_0,"i recently got a promotion at work, which i thought would be exciting. but the added responsibilities and pressure have just taken a toll on my mental health. it is been a really moving experience for me.",i can understand how it can be overwhelming when we are faced with higher expectations. it is okay to acknowledge not your emotions and allow yourself to feel sad in this situation. it is an important part of the healing process. what specific challenges have you been facing at work?,recently got promotion work thought would exciting added responsibilities pressure taken toll mental health really moving experience,understand overwhelming faced higher expectations okay acknowledge not emotions allow feel sad situation important part healing process specific challenges facing work
identity_0,"well, the workload has increased significantly, and i find it hard to maintain a work-life balance. i have been staying late at the office, and it feels like i am constantly under a pile of never-ending not tasks. it is just so hard to keep up, and it is impacting my overall well-being.","it sounds like you are dealing with a lot of pressure to perform and succeed. remember, it is crucial to take care of yourself, both mentally and physically. a healthy work-life balance is essential. have you tried any strategies to cope with the added workload?",well workload increased significantly find hard maintain work-life balance staying late office feels like constantly pile never-ending not tasks hard keep impacting overall well-being,sounds like dealing lot pressure perform succeed remember crucial take care mentally physically healthy work-life balance essential tried strategies cope added workload
identity_0,"i have been trying to prioritize my tasks and delegate whenever not possible. i have also started practicing meditation during my breaks to help manage stress. but sometimes, it feels like no not matter what i do, i cannot catch a break. it is been a constant struggle.","it is great to hear that you are already implementing some helpful strategies. remember, progress takes time, and it is okay to have setbacks. in addition to what you are already doing, i encourage you to also communicate with your supervisor or team about your workload and discuss possible solutions together.",trying prioritize tasks delegate whenever not possible also started practicing meditation breaks help manage stress sometimes feels like no not matter not catch break constant struggle,great hear already implementing helpful strategies remember progress takes time okay setbacks addition already encourage also communicate supervisor team workload discuss possible solutions together
identity_0,youre right. i have not really opened up about my struggles to my coworkers or supervisor. i guess i have been afraid of appearing weak or incapable. how can i approach this discussion without feeling vulnerable?,"it is completely normal not to feel that way, but remember, asking for support is a strength, not a weakness. start by scheduling a conversation with your supervisor or a trusted colleague in a private and comfortable setting. be honest about your challenges and express your willingness to find solutions together. remember, you are not alone in this.",youre right not really opened struggles coworkers supervisor guess afraid appearing weak incapable approach discussion without feeling vulnerable,completely normal not feel way remember asking support strength not weakness start scheduling conversation supervisor trusted colleague private comfortable setting honest challenges express willingness find solutions together remember not alone
identity_0,thank you for your understanding and guidance. i appreciate the reminder that i do not have to face this alone. ill gather my courage and initiate that conversation soon. i need to prioritize my well-being and find a healthier balance.,"youre very welcome! i am here to support you every step of the way. taking care of yourself should always be a priority. remember to be kind to yourself and celebrate your progress, no not matter how small it may seem. youve got this!",thank understanding guidance appreciate reminder not face alone ill gather courage initiate conversation soon need prioritize well-being find healthier balance,youre welcome support every step way taking care always priority remember kind celebrate progress no not matter small may seem youve got
identity_1,"hi, i am feeling really scared about something and i need some advice. it is about friendship.",hello there! i am here to listen and offer support. tell me more about what is going on with your friendship. what specifically is making you feel scared?,hi feeling really scared something need advice friendship,hello listen offer support tell going friendship specifically making feel scared
identity_1,"well, lately, i have been feeling like my friends do not value me as much as i value them. it is like i am always the one reaching out and making plans, but they never not initiate anything. it is making me doubt if our friendship is genuine.",i understand how disheartening that can be. it is important to feel valued and appreciated in any relationship. have you talked to your friends about how you are feeling?,well lately feeling like friends not value much value like always one reaching making plans never not initiate anything making doubt friendship genuine,understand disheartening important feel valued appreciated relationship talked friends feeling
identity_1,"no, not i have not. not i am afraid that theyll think i am being needy or that theyll get defensive. i do not want to ruin our friendship by bringing it up.","it is normal not to feel hesitant about having difficult conversations, but addressing your concerns is a crucial step towards building stronger connections. before jumping to conclusions, it is important to communicate openly and honestly. you deserve to express your feelings.",no not not not afraid theyll think needy theyll get defensive not want ruin friendship bringing,normal not feel hesitant difficult conversations addressing concerns crucial step towards building stronger connections jumping conclusions important communicate openly honestly deserve express feelings
identity_1,"youre right, i should talk to them. but how do i approach the conversation without sounding accusatory or angry?","that is a great question! it can be helpful to use i statements to express how you feel, rather than placing blame on others. for example, you can say, i have been feeling a bit overlooked lately, and i wanted to talk about our friendship to ensure we are on the same page.",youre right talk approach conversation without sounding accusatory angry,great question helpful use statements express feel rather placing blame others example say feeling bit overlooked lately wanted talk friendship ensure page
